rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Zaracho,100079,4,282,True,2.2,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
12,Igor Gomes,100084,4,276,True,1.2,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
12,Pinares,100107,4,284,True,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Grêmio,Meia,mei
12,Paulinho Bóia,100333,5,286,True,4.0,1,2,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
12,Yuri Alberto,100652,5,285,True,0.8,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Atacante,ata
12,Gabriel Sara,100763,4,276,True,0.8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
12,Ruan,100842,3,284,True,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
12,Lucas Araújo,100844,4,265,True,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
12,Conti,100943,3,265,True,-0.5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Zagueiro,zag
12,Ronald,100969,4,356,True,0.2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
12,Felipe Marques,101054,5,1371,True,8.6,0,0,2,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Cuiabá,Atacante,ata
12,Umberto Louzer,101077,6,292,True,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
12,Thonny Anderson,101484,4,265,True,1.6,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
12,Felipe Jonatan,101708,2,277,True,-3.1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Lateral,lat
12,Alerrandro,101715,5,280,True,7.3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Bragantino,Atacante,ata
12,Fabinho,101729,5,315,True,1.8,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Pablo,101733,4,265,True,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
12,Guilherme Castilho,101798,4,286,True,-3.3,0,1,3,1,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Juventude,Meia,mei
12,Toró,101885,5,373,True,-0.4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Atacante,ata
12,Vitinho,101960,5,293,True,-1.7,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
12,Cristiano,102145,5,354,True,-2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceará,Atacante,ata
12,Marquinhos,102292,5,264,True,1.0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Atacante,ata
12,Mikael,102299,5,292,True,-0.9,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Atacante,ata
12,Araos,102352,4,264,True,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
12,Kelvyn,102464,2,354,True,5.7,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ceará,Lateral,lat
12,Kaio Nunes,102563,5,315,True,2.3,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Helinho,102598,5,280,True,1.5,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
12,Terans,102878,4,293,True,1.0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Meia,mei
12,Matheus Teixeira,102907,1,265,True,0.0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,Bahia,Goleiro,gol
