,rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,FC,FS,PI,FF,A,DS,DE,GS,FD,SG,CA,FT,G,PC,PS,PP,I,DP,clube_nome,posicao_nome,posicao_abreviacao
0,15,Igor Gomes,100084,4,276,True,2.3,1,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
1,15,Paulinho Bóia,100333,5,286,True,8.3,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Juventude,Atacante,ata
2,15,Yuri Alberto,100652,5,285,True,25.5,1,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Internacional,Atacante,ata
3,15,Liziero,100761,4,276,True,1.3,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
4,15,Gabriel Sara,100763,4,276,True,7.9,1,0,6,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
5,15,Ruan,100842,3,284,True,0.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
6,15,Conti,100943,3,265,True,3.0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,Bahia,Zagueiro,zag
7,15,Felipe Marques,101054,5,1371,True,-6.1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
8,15,Umberto Louzer,101077,6,292,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
9,15,Ademir,101314,5,327,True,10.9,5,3,5,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,América-MG,Atacante,ata
10,15,Guga,101319,2,282,True,1.5,1,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Lateral,lat
11,15,Chrigor,101398,5,327,True,2.3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
12,15,Pepê,101573,4,1371,True,8.6,1,1,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Cuiabá,Meia,mei
13,15,Léo Gomes,101585,4,315,True,2.2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Meia,mei
14,15,Felipe Jonatan,101708,2,277,True,7.8,2,1,8,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,Santos,Lateral,lat
15,15,Toró,101885,5,373,True,0.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Atacante,ata
16,15,Denner,102038,4,315,True,-1.5,1,0,10,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Chapecoense,Meia,mei
17,15,Marquinhos,102292,5,264,True,0.5,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Corinthians,Atacante,ata
18,15,Alyson,102330,2,286,True,-0.7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Lateral,lat
19,15,Terans,102878,4,293,True,9.9,0,0,15,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,Athlético-PR,Meia,mei
20,15,Matheus Teixeira,102907,1,265,True,0.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bahia,Goleiro,gol
21,15,Luan,102909,4,276,True,-0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
22,15,Éderson,103099,4,356,True,2.3,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
23,15,Ramon,103515,4,327,True,2.2,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
24,15,Bruno Méndez,103700,3,285,True,9.8,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,Internacional,Zagueiro,zag
25,15,Gabriel Veron,103764,5,275,True,-0.2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,Atacante,ata
26,15,Hernán Crespo,103912,6,276,True,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Técnico,tec
27,15,Cléber,104125,5,354,True,2.5,2,1,5,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,Ceará,Atacante,ata
28,15,João Victor,104250,3,264,True,8.4,0,4,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Corinthians,Zagueiro,zag
29,15,João Lucas,104257,2,1371,True,4.3,0,3,5,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,Cuiabá,Lateral,lat
30,15,Rick,104459,5,354,True,2.1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ceará,Atacante,ata
31,15,Camilo,104519,4,1371,True,1.8,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
32,15,Darlan,104593,4,284,True,4.7,2,0,5,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,Grêmio,Meia,mei
33,15,Heitor,104649,2,285,True,4.4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Internacional,Lateral,lat
34,15,Juan Vojvoda,104754,6,356,True,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Técnico,tec
35,15,Fabrício,105171,5,327,True,1.5,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
36,15,Bento,105208,1,293,True,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Goleiro,gol
37,15,Roni,105585,4,264,True,-2.9,2,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Corinthians,Meia,mei
38,15,Wesley,105811,5,275,True,0.2,1,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Palmeiras,Atacante,ata
