,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,14,276,São Paulo,275,Palmeiras,0.0,0.0,270403,2021-07-31T19:00,19:00,True
1,14,285,Internacional,1371,Cuiabá,0.0,0.0,270406,2021-07-31T20:00,20:00,True
2,14,280,Bragantino,284,Grêmio,1.0,0.0,270409,2021-07-31T21:00,21:00,True
3,14,264,Corinthians,262,Flamengo,1.0,3.0,270402,2021-08-01T16:00,16:00,True
4,14,282,Atlético-MG,293,Athletico-PR,2.0,0.0,270405,2021-08-01T16:00,16:00,True
5,14,265,Bahia,292,Sport,0.0,1.0,270408,2021-08-01T18:15,18:15,True
6,14,315,Chapecoense,277,Santos,0.0,1.0,270410,2021-08-01T18:15,18:15,True
7,14,354,Ceará,356,Fortaleza,3.0,1.0,270407,2021-08-01T20:30,20:30,True
8,14,373,Atlético-GO,327,América-MG,1.0,1.0,270411,2021-08-01T20:30,20:30,True
9,14,266,Fluminense,286,Juventude,,,270404,2021-09-02T19:00,19:00,True
10,14,275,Palmeiras,276,São Paulo,0.0,0.0,270403,2021-07-31T19:00,19:00,False
11,14,1371,Cuiabá,285,Internacional,0.0,0.0,270406,2021-07-31T20:00,20:00,False
12,14,284,Grêmio,280,Bragantino,0.0,1.0,270409,2021-07-31T21:00,21:00,False
13,14,262,Flamengo,264,Corinthians,3.0,1.0,270402,2021-08-01T16:00,16:00,False
14,14,293,Athletico-PR,282,Atlético-MG,0.0,2.0,270405,2021-08-01T16:00,16:00,False
15,14,292,Sport,265,Bahia,1.0,0.0,270408,2021-08-01T18:15,18:15,False
16,14,277,Santos,315,Chapecoense,1.0,0.0,270410,2021-08-01T18:15,18:15,False
17,14,356,Fortaleza,354,Ceará,1.0,3.0,270407,2021-08-01T20:30,20:30,False
18,14,327,América-MG,373,Atlético-GO,1.0,1.0,270411,2021-08-01T20:30,20:30,False
19,14,286,Juventude,266,Fluminense,,,270404,2021-09-02T19:00,19:00,False
